SimpleBaselineVQA, Apr-19-00-35-53, [{"test-dev": {"yes/no": 0.0, "number": 0.18, "other": 0.04, "overall": 0.04}}]
SimpleBaselineVQA, Apr-19-00-33-53, [{"test-dev": {"yes/no": 71.52, "number": 33.87, "other": 34.98, "overall": 49.91}}, {"test-standard": {"yes/no": 72.1, "number": 33.67, "other": 34.87, "overall": 50.18}}]
SimpleBaselineVQA, Apr-19-00-14-27, [{"test-dev": {"yes/no": 70.16, "number": 32.27, "other": 32.57, "overall": 48.02}}]
SimpleBaselineVQA, Apr-18-16-34-58, [{"test-dev": {"yes/no": 0.0, "number": 0.03, "other": 0.13, "overall": 0.07}}]
SimpleBaselineVQA, Apr-17-23-08-12, [{"test-dev": {"yes/no": 69.77, "number": 30.6, "other": 30.48, "overall": 46.68}}]
SimpleBaselineVQA, Apr-17-21-42-53, [{"test-dev": {"yes/no": 0.0, "number": 0.28, "other": 0.05, "overall": 0.06}}]
OriginalVQA, Apr-19-22-35-18, [{"test-dev": {"yes/no": 70.12, "number": 33.31, "other": 34.61, "overall": 49.09}}, {"test-standard": {"yes/no": 70.2, "number": 32.85, "other": 34.46, "overall": 49.11}}]
OriginalVQA, Apr-19-00-25-41, [{"test-dev": {"yes/no": 0.0, "number": 0.01, "other": 0.06, "overall": 0.03}}]
OriginalVQA, Apr-19-00-14-25, [{"test-dev": {"yes/no": 0.02, "number": 0.31, "other": 0.04, "overall": 0.06}}]
OriginalVQA, Apr-18-16-34-56, [{"test-dev": {"yes/no": 65.92, "number": 28.62, "other": 27.47, "overall": 43.44}}]
OriginalVQA, Apr-17-23-08-11, [{"test-dev": {"yes/no": 2.05, "number": 0.0, "other": 0.07, "overall": 0.88}}]
OriginalVQA, Apr-17-23-03-24, [{"test-dev": {"yes/no": 0.0, "number": 0.12, "other": 0.18, "overall": 0.1}}]
OriginalVQA, Apr-17-21-42-53, [{"test-dev": {"yes/no": 67.17, "number": 28.76, "other": 28.97, "overall": 44.68}}]
OriginalVQA, project, [{"test-dev": {"yes/no": 47.75, "number": 0.27, "other": 3.71, "overall": 21.46}}]
SAN, Apr-17-21-32-59, [{"test-dev": {"yes/no": 0.0, "number": 0.02, "other": 0.3, "overall": 0.15}}] 
